"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(RealizedGainLHCP) []"
0.915,0,-180,-31.8762510989322,-31.926178614315
0.915,0,-178,-31.8387963016131,-31.8887238169959
0.915,0,-176,-31.7577216463938,-31.8076491617766
0.915,0,-174,-31.6114183678008,-31.6613458831836
0.915,0,-172,-31.3694115526931,-31.4193390680759
0.915,0,-170,-31.0002779787243,-31.0502054941071
0.915,0,-168,-30.4819954152029,-30.5319229305857
0.915,0,-166,-29.8105922550147,-29.8605197703975
0.915,0,-164,-29.002223089355,-29.0521506047378
0.915,0,-162,-28.0876217117665,-28.1375492271493
0.915,0,-160,-27.1028776401354,-27.1528051555182
0.915,0,-158,-26.0815770453249,-26.1315045607077
0.915,0,-156,-25.0506681613285,-25.1005956767113
0.915,0,-154,-24.0296014107805,-24.0795289261633
0.915,0,-152,-23.0312703155354,-23.0811978309182
0.915,0,-150,-22.063537104188,-22.1134646195708
0.915,0,-148,-21.1306950776611,-21.1806225930439
0.915,0,-146,-20.2346361074979,-20.2845636228807
0.915,0,-144,-19.3757012084819,-19.4256287238647
0.915,0,-142,-18.5532686648457,-18.6031961802285
0.915,0,-140,-17.7661476536049,-17.8160751689877
0.915,0,-138,-17.0128357765496,-17.0627632919324
0.915,0,-136,-16.2916843990119,-16.3416119143947
0.915,0,-134,-15.6010027124453,-15.6509302278281
0.915,0,-132,-14.9391215547472,-14.98904907013
0.915,0,-130,-14.3044310296325,-14.3543585450153
0.915,0,-128,-13.695401203208,-13.7453287185908
0.915,0,-126,-13.1105919769238,-13.1605194923066
0.915,0,-124,-12.5486561369179,-12.5985836523007
0.915,0,-122,-12.0083382004016,-12.0582657157844
0.915,0,-120,-11.4884707744531,-11.5383982898359
0.915,0,-118,-10.9879695477079,-11.0378970630907
0.915,0,-116,-10.5058276432622,-10.555755158645
0.915,0,-114,-10.0411098012924,-10.0910373166752
0.915,0,-112,-9.59294668663602,-9.64287420201882
0.915,0,-110,-9.16052950012385,-9.21045701550666
0.915,0,-108,-8.74310499351954,-8.79303250890234
0.915,0,-106,-8.3399709340239,-8.3898984494067
0.915,0,-104,-7.95047202740497,-8.00039954278778
0.915,0,-102,-7.57399628373172,-7.62392379911453
0.915,0,-100,-7.20997179308951,-7.25989930847231
