"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
0.925,0,-180,-10.0931691392129
0.925,0,-178,-10.0979394680308
0.925,0,-176,-10.1062995765288
0.925,0,-174,-10.1180392045331
0.925,0,-172,-10.1328044494079
0.925,0,-170,-10.1500997221206
0.925,0,-168,-10.1692912648148
0.925,0,-166,-10.1896126128255
0.925,0,-164,-10.2101724474012
0.925,0,-162,-10.2299653148918
0.925,0,-160,-10.247885670145
0.925,0,-158,-10.26274562198
0.925,0,-156,-10.2732966043734
0.925,0,-154,-10.2782549614576
0.925,0,-152,-10.2763311206195
0.925,0,-150,-10.2662616530901
0.925,0,-148,-10.2468431194824
0.925,0,-146,-10.2169662190647
0.925,0,-144,-10.1756484675598
0.925,0,-142,-10.1220634813685
0.925,0,-140,-10.0555649961288
0.925,0,-138,-9.97570401749437
0.925,0,-136,-9.88223797813222
0.925,0,-134,-9.7751314042971
0.925,0,-132,-9.6545482937877
0.925,0,-130,-9.52083707576526
0.925,0,-128,-9.37450956910759
0.925,0,-126,-9.21621571222854
0.925,0,-124,-9.04671597334232
0.925,0,-122,-8.86685327492789
0.925,0,-120,-8.67752602055327
0.925,0,-118,-8.47966345603879
0.925,0,-116,-8.27420419432854
0.925,0,-114,-8.06207834087152
0.925,0,-112,-7.84419331511511
0.925,0,-110,-7.62142319759333
0.925,0,-108,-7.39460124861776
0.925,0,-106,-7.16451513900942
0.925,0,-104,-6.93190439320412
0.925,0,-102,-6.69745955452285
0.925,0,-100,-6.46182262530951
0.925,0,-98,-6.22558839675736
0.925,0,-96,-5.98930635323097
0.925,0,-94,-5.75348290555151
0.925,0,-92,-5.51858377174793
0.925,0,-90,-5.28503637925758
0.925,0,-88,-5.05323220832893
0.925,0,-86,-4.82352903248312
0.925,0,-84,-4.59625303909886
0.925,0,-82,-4.37170083263255
0.925,0,-80,-4.15014133591505
0.925,0,-78,-3.93181761257768
0.925,0,-76,-3.71694863702606
0.925,0,-74,-3.50573103841838
0.925,0,-72,-3.29834084258498
0.925,0,-70,-3.09493523139359
0.925,0,-68,-2.89565433326862
0.925,0,-66,-2.70062305189925
0.925,0,-64,-2.50995293305724
0.925,0,-62,-2.32374406229955
0.925,0,-60,-2.14208697953095
0.925,0,-58,-1.96506459029257
0.925,0,-56,-1.79275404852613
0.925,0,-54,-1.62522858168841
0.925,0,-52,-1.46255922663565
0.925,0,-50,-1.30481644376822
0.925,0,-48,-1.15207157754482
0.925,0,-46,-1.00439813358628
0.925,0,-44,-0.86187284606246
0.925,0,-42,-0.724576513700197
0.925,0,-40,-0.59259458832931
0.925,0,-38,-0.466017506131639
0.925,0,-36,-0.344940758398216
0.925,0,-34,-0.229464705359763
0.925,0,-32,-0.119694143281317
0.925,0,-30,-0.015737641274792
0.925,0,-28,0.082293330011014
0.925,0,-26,0.174285450674586
0.925,0,-24,0.260124753524097
0.925,0,-22,0.339697941205337
0.925,0,-20,0.412893781756108
0.925,0,-18,0.479604544641694
0.925,0,-16,0.53972743914482
0.925,0,-14,0.593166017808474
0.925,0,-12,0.639831509420576
0.925,0,-10,0.679644048725827
0.925,0,-8,0.712533773572743
0.925,0,-6,0.73844176445587
0.925,0,-4,0.757320806280034
0.925,0,-2,0.76913595752407
0.925,0,0,0.773864917668417
0.925,0,2,0.771498189612716
0.925,0,4,0.762039039670356
0.925,0,6,0.745503263403027
0.925,0,8,0.72191877085901
0.925,0,10,0.691325009516528
0.925,0,12,0.653772247229857
0.925,0,14,0.609320740573885
0.925,0,16,0.558039816057451
0.925,0,18,0.50000689264705
0.925,0,20,0.435306473884185
0.925,0,22,0.36402913663015
0.925,0,24,0.286270541234814
0.925,0,26,0.202130484870968
0.925,0,28,0.111712016127748
0.925,0,30,0.0151206249831993
0.925,0,32,-0.0875364817355228
0.925,0,34,-0.196151013061588
0.925,0,36,-0.310614131691181
0.925,0,38,-0.430816896371067
0.925,0,40,-0.556650610107699
0.925,0,42,-0.688007076318516
0.925,0,44,-0.824778765119675
0.925,0,46,-0.966858891339461
0.925,0,48,-1.11414140475768
0.925,0,50,-1.26652089173018
0.925,0,52,-1.42389238600319
0.925,0,54,-1.58615108536794
0.925,0,56,-1.7531919700134
0.925,0,58,-1.92490931809071
0.925,0,60,-2.10119611410858
0.925,0,62,-2.28194334625118
0.925,0,64,-2.46703918939056
0.925,0,66,-2.65636807124463
0.925,0,68,-2.84980961957611
0.925,0,70,-3.04723748831388
0.925,0,72,-3.24851805982973
0.925,0,74,-3.45350901921825
0.925,0,76,-3.66205779431321
0.925,0,78,-3.87399985245971
0.925,0,80,-4.08915684202207
0.925,0,82,-4.30733456366387
0.925,0,84,-4.52832075415856
0.925,0,86,-4.75188266459367
0.925,0,88,-4.97776441616734
0.925,0,90,-5.20568412130953
0.925,0,92,-5.435330766651
0.925,0,94,-5.66636086851693
0.925,0,96,-5.89839493223873
0.925,0,98,-6.13101377464902
0.925,0,100,-6.36375480540773
0.925,0,102,-6.5961084076261
0.925,0,104,-6.82751461124557
0.925,0,106,-7.05736031240814
0.925,0,108,-7.28497735582651
0.925,0,110,-7.50964186029999
0.925,0,112,-7.73057522318702
0.925,0,114,-7.94694727857627
0.925,0,116,-8.15788209453131
0.925,0,118,-8.36246686392251
0.925,0,120,-8.55976425761432
0.925,0,122,-8.74882845690726
0.925,0,124,-8.92872485826963
0.925,0,126,-9.09855315074718
0.925,0,128,-9.25747312077881
0.925,0,130,-9.40473217085026
0.925,0,132,-9.53969319178866
0.925,0,134,-9.66186115726198
0.925,0,136,-9.77090666777872
0.925,0,138,-9.86668470411172
0.925,0,140,-9.94924707797517
0.925,0,142,-10.0188474810577
0.925,0,144,-10.0759385887072
0.925,0,146,-10.1211613006537
0.925,0,148,-10.1553268129336
0.925,0,150,-10.1793927305761
0.925,0,152,-10.1944347871599
0.925,0,154,-10.2016159031083
0.925,0,156,-10.2021542911881
0.925,0,158,-10.1972921353142
0.925,0,160,-10.188266076079
0.925,0,162,-10.1762803883218
0.925,0,164,-10.1624833831855
0.925,0,166,-10.1479472487393
0.925,0,168,-10.1336512843551
0.925,0,170,-10.120468295717
0.925,0,172,-10.109153799686
0.925,0,174,-10.1003376338726
0.925,0,176,-10.094517563509
0.925,0,178,-10.0920545159066
0.925,0,180,-10.0931691392129
