Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
0.915,0,-180,-1.06546120164028
0.915,0,-179,-1.13224973791637
0.915,0,-178,-1.33144355432805
0.915,0,-177,-1.66544116524088
0.915,0,-176,-2.13839321381995
0.915,0,-175,-2.75646901627547
0.915,0,-174,-3.52828000376788
0.915,0,-173,-4.46551754701461
0.915,0,-172,-5.58389206777672
0.915,0,-171,-6.90449007471425
0.915,0,-170,-8.45565238574122
0.915,0,-169,-10.2752168602512
0.915,0,-168,-12.4115542272054
0.915,0,-167,-14.9151319199912
0.915,0,-166,-17.7820173546817
0.915,0,-165,-20.7031665074715
0.915,0,-164,-22.5447456182303
0.915,0,-163,-22.3360686840529
0.915,0,-162,-21.1391802438984
0.915,0,-161,-20.021845507301
0.915,0,-160,-19.2451362349469
0.915,0,-159,-18.7859336562663
0.915,0,-158,-18.5656978775832
0.915,0,-157,-18.5014465716206
0.915,0,-156,-18.5170786284058
0.915,0,-155,-18.5510555453456
0.915,0,-154,-18.5655610814678
0.915,0,-153,-18.5524065297044
0.915,0,-152,-18.5304701427944
0.915,0,-151,-18.5355894996144
0.915,0,-150,-18.6090393571457
0.915,0,-149,-18.7898028303702
0.915,0,-148,-19.1117012435919
0.915,0,-147,-19.6036806877284
0.915,0,-146,-20.2909016592044
0.915,0,-145,-21.194010251528
0.915,0,-144,-22.3218895029121
0.915,0,-143,-23.6462405189693
0.915,0,-142,-25.0330625475346
0.915,0,-141,-26.1249124996526
0.915,0,-140,-26.3859830699881
0.915,0,-139,-25.643751399747
0.915,0,-138,-24.3330795192112
0.915,0,-137,-22.927488702736
0.915,0,-136,-21.6505115308405
0.915,0,-135,-20.5647209119322
0.915,0,-134,-19.6705414391112
0.915,0,-133,-18.9499286800442
0.915,0,-132,-18.3816416265348
0.915,0,-131,-17.9459327921011
0.915,0,-130,-17.6256600290957
0.915,0,-129,-17.4062756649777
0.915,0,-128,-17.275525276101
0.915,0,-127,-17.2231261000122
0.915,0,-126,-17.2405004183443
0.915,0,-125,-17.3205724986112
0.915,0,-124,-17.4576161131237
0.915,0,-123,-17.6471342787465
0.915,0,-122,-17.8857533457821
0.915,0,-121,-18.171116011014
0.915,0,-120,-18.5017604284177
0.915,0,-119,-18.8769740604652
0.915,0,-118,-19.2966099794568
0.915,0,-117,-19.7608485681872
0.915,0,-116,-20.2698773625435
0.915,0,-115,-20.8234443836951
0.915,0,-114,-21.4202144572908
0.915,0,-113,-22.0568252346908
0.915,0,-112,-22.7265110681886
0.915,0,-111,-23.4171758638663
0.915,0,-110,-24.108944838705
0.915,0,-109,-24.7716892163489
0.915,0,-108,-25.3639833036789
0.915,0,-107,-25.8361689147919
0.915,0,-106,-26.140128128067
0.915,0,-105,-26.2445161419332
0.915,0,-104,-26.1475202761508
0.915,0,-103,-25.8776939462147
0.915,0,-102,-25.482208533485
0.915,0,-101,-25.0114588605016
0.915,0,-100,-24.5085664729022
0.915,0,-99,-24.0057226338523
0.915,0,-98,-23.5249735651652
0.915,0,-97,-23.0806709197385
0.915,0,-96,-22.6819895142045
0.915,0,-95,-22.3349361531362
0.915,0,-94,-22.0437866727184
0.915,0,-93,-21.8120616743764
0.915,0,-92,-21.6431719077286
0.915,0,-91,-21.5408329043515
0.915,0,-90,-21.5093031974889
0.915,0,-89,-21.5534462649006
0.915,0,-88,-21.6785388508867
0.915,0,-87,-21.8896125810781
0.915,0,-86,-22.189852781802
0.915,0,-85,-22.5770687362418
0.915,0,-84,-23.0363703776781
0.915,0,-83,-23.5262531933723
0.915,0,-82,-23.9569687672595
0.915,0,-81,-24.1732333935776
0.915,0,-80,-23.984195145925
0.915,0,-79,-23.2762234111364
0.915,0,-78,-22.1115413572184
0.915,0,-77,-20.6726367038589
0.915,0,-76,-19.1352785098923
0.915,0,-75,-17.6113806395956
0.915,0,-74,-16.1570903741372
0.915,0,-73,-14.7955489557181
0.915,0,-72,-13.533494915819
0.915,0,-71,-12.37042709911
0.915,0,-70,-11.3031378877725
0.915,0,-69,-10.3278378539862
0.915,0,-68,-9.44111199340816
0.915,0,-67,-8.64033028468095
0.915,0,-66,-7.92381478198688
0.915,0,-65,-7.2909095643431
0.915,0,-64,-6.74202621537863
0.915,0,-63,-6.27870393888443
0.915,0,-62,-5.90370987686218
0.915,0,-61,-5.62120272429077
0.915,0,-60,-5.43698807963671
0.915,0,-59,-5.35890743863066
0.915,0,-58,-5.39742801268343
0.915,0,-57,-5.56654639316243
0.915,0,-56,-5.885204125805
0.915,0,-55,-6.37957759179288
0.915,0,-54,-7.08693760098078
0.915,0,-53,-8.06248107283141
0.915,0,-52,-9.39207599157813
0.915,0,-51,-11.2169050391335
0.915,0,-50,-13.7762463391845
0.915,0,-49,-17.3694829530339
0.915,0,-48,-20.5600050020974
0.915,0,-47,-17.8034338029271
0.915,0,-46,-13.5909194421645
0.915,0,-45,-10.4285900754967
