"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-18.6860663423375
0.915,0,-179,-15.3749726880228
0.915,0,-178,-12.9100446620855
0.915,0,-177,-11.1435011604824
0.915,0,-176,-9.89958597535313
0.915,0,-175,-9.0670952005691
0.915,0,-174,-8.57979283808163
0.915,0,-173,-8.39997249726918
0.915,0,-172,-8.50963097920891
0.915,0,-171,-8.90669939907895
0.915,0,-170,-9.60499334716073
0.915,0,-169,-10.6381361202193
0.915,0,-168,-12.069946579197
0.915,0,-167,-14.0190563976295
0.915,0,-166,-16.7229430656048
0.915,0,-165,-20.7438192668072
0.915,0,-164,-27.9126575493922
0.915,0,-163,-33.3790621800149
0.915,0,-162,-24.1187788187117
0.915,0,-161,-19.8507152671634
0.915,0,-160,-17.3911488233739
0.915,0,-159,-15.8517070176475
0.915,0,-158,-14.8945797117077
0.915,0,-157,-14.3574637962613
0.915,0,-156,-14.1507747584328
0.915,0,-155,-14.2195043767277
0.915,0,-154,-14.5244863038831
0.915,0,-153,-15.0283706900121
0.915,0,-152,-15.6783587215715
0.915,0,-151,-16.3799408159846
0.915,0,-150,-16.9662699443931
0.915,0,-149,-17.2051464302319
0.915,0,-148,-16.9140634352848
0.915,0,-147,-16.1148501144872
0.915,0,-146,-15.0067527559096
0.915,0,-145,-13.8006475988633
0.915,0,-144,-12.6306529781361
0.915,0,-143,-11.5611058054259
0.915,0,-142,-10.6162444200102
0.915,0,-141,-9.8013618948787
0.915,0,-140,-9.11390793958552
0.915,0,-139,-8.54867125582722
0.915,0,-138,-8.1000572862715
0.915,0,-137,-7.76303975542554
0.915,0,-136,-7.5335334954663
0.915,0,-135,-7.40853135904242
0.915,0,-134,-7.38616209521406
0.915,0,-133,-7.46574322966777
0.915,0,-132,-7.64786807825992
0.915,0,-131,-7.93455423701924
0.915,0,-130,-8.32948180220819
0.915,0,-129,-8.83835985597516
0.915,0,-128,-9.4694803395331
0.915,0,-127,-10.2345539177379
0.915,0,-126,-11.1499814954431
0.915,0,-125,-12.2388093791273
0.915,0,-124,-13.5337452472026
0.915,0,-123,-15.0816658366479
0.915,0,-122,-16.9492365092839
0.915,0,-121,-19.2226964253404
0.915,0,-120,-21.9522234836483
0.915,0,-119,-24.7628750857487
0.915,0,-118,-25.8088010904804
0.915,0,-117,-24.0510064908346
0.915,0,-116,-21.6041571572532
0.915,0,-115,-19.5196019710379
0.915,0,-114,-17.8736139775676
0.915,0,-113,-16.5800944240831
0.915,0,-112,-15.5578726016517
0.915,0,-111,-14.7472792292324
0.915,0,-110,-14.1056385681448
0.915,0,-109,-13.6019252942715
0.915,0,-108,-13.212949023639
0.915,0,-107,-12.9208293211203
0.915,0,-106,-12.7113241119516
0.915,0,-105,-12.5726950175995
0.915,0,-104,-12.4949086727833
0.915,0,-103,-12.4690500112938
0.915,0,-102,-12.4868717100409
0.915,0,-101,-12.5404349906925
0.915,0,-100,-12.6218187376996
0.915,0,-99,-12.7228912621296
0.915,0,-98,-12.8351545427936
0.915,0,-97,-12.9496847105628
0.915,0,-96,-13.0572026287284
0.915,0,-95,-13.1483095640274
0.915,0,-94,-13.2139082527559
0.915,0,-93,-13.2457940782024
0.915,0,-92,-13.2373475659353
0.915,0,-91,-13.1842044286598
0.915,0,-90,-13.0847507185019
0.915,0,-89,-12.9403130370852
0.915,0,-88,-12.7549890993809
0.915,0,-87,-12.5351632168388
0.915,0,-86,-12.2888299885763
0.915,0,-85,-12.0248763217526
0.915,0,-84,-11.7524459712747
0.915,0,-83,-11.4804554520289
0.915,0,-82,-11.2172733692523
0.915,0,-81,-10.970534130268
0.915,0,-80,-10.7470348601061
0.915,0,-79,-10.5526553207005
0.915,0,-78,-10.392236059768
0.915,0,-77,-10.2693421882293
0.915,0,-76,-10.1858239872606
0.915,0,-75,-10.1410602227145
0.915,0,-74,-10.1307449059016
0.915,0,-73,-10.1450880029887
0.915,0,-72,-10.1664359215141
0.915,0,-71,-10.1667575156654
0.915,0,-70,-10.1063911349044
0.915,0,-69,-9.93672242042398
0.915,0,-68,-9.60960078656816
0.915,0,-67,-9.0926906303711
0.915,0,-66,-8.38304903616947
0.915,0,-65,-7.50894079471794
0.915,0,-64,-6.51840697264348
0.915,0,-63,-5.46342471498035
0.915,0,-62,-4.38876250582514
0.915,0,-61,-3.32790268631234
0.915,0,-60,-2.30367588759595
0.915,0,-59,-1.33070616407617
0.915,0,-58,-0.417963611476556
0.915,0,-57,0.429200826718183
0.915,0,-56,1.20761520774681
0.915,0,-55,1.91533028795259
0.915,0,-54,2.55101089311359
0.915,0,-53,3.11356622138021
0.915,0,-52,3.6019464953843
0.915,0,-51,4.01506543534339
0.915,0,-50,4.35183525255351
0.915,0,-49,4.61132653558895
0.915,0,-48,4.79309393501514
0.915,0,-47,4.89774420354849
0.915,0,-46,4.92786751763153
0.915,0,-45,4.88949731126913
0.915,0,-44,4.79426839580154
0.915,0,-43,4.66229440700954
0.915,0,-42,4.52524438505777
0.915,0,-41,4.42787125546966
0.915,0,-40,4.42457152249299
0.915,0,-39,4.56749865614743
0.915,0,-38,4.88789796002227
0.915,0,-37,5.38131288470499
0.915,0,-36,6.00852227436824
0.915,0,-35,6.71134747194884
0.915,0,-34,7.43084965649888
0.915,0,-33,8.11811668290943
0.915,0,-32,8.73681936401574
0.915,0,-31,9.26118710714351
0.915,0,-30,9.672640799404
0.915,0,-29,9.95662939159618
0.915,0,-28,10.1000536665009
0.915,0,-27,10.089148675933
0.915,0,-26,9.90752511103808
0.915,0,-25,9.53400138417526
0.915,0,-24,8.93977195651735
0.915,0,-23,8.08432130007188
0.915,0,-22,6.90949539471882
0.915,0,-21,5.33276247574624
0.915,0,-20,3.25382659037061
0.915,0,-19,0.678454840073944
0.915,0,-18,-1.52850737783615
0.915,0,-17,-0.976615097617923
0.915,0,-16,1.68478528650413
0.915,0,-15,4.28025719227689
0.915,0,-14,6.33198434431326
0.915,0,-13,7.89124855846333
0.915,0,-12,9.05023990291691
0.915,0,-11,9.87632866155061
0.915,0,-10,10.4123750685099
0.915,0,-9,10.6828456122874
0.915,0,-8,10.6979879470904
0.915,0,-7,10.4556724937892
0.915,0,-6,9.94116671107406
0.915,0,-5,9.12483510280099
0.915,0,-4,7.95762628908394
0.915,0,-3,6.36584203928627
0.915,0,-2,4.25985655459834
0.915,0,-1,1.65781339327106
0.915,0,0,-0.602041797362147
0.915,0,1,-0.241001454671367
0.915,0,2,2.20564294348502
