"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-19.9366497885667
0.915,0,-179,-18.9124099601775
0.915,0,-178,-18.4897530568849
0.915,0,-177,-19.0962813225678
0.915,0,-176,-20.9183593149345
0.915,0,-175,-20.5424785286776
0.915,0,-174,-16.0089260368717
0.915,0,-173,-12.3051682041597
0.915,0,-172,-9.98548502780516
0.915,0,-171,-8.55587613950527
0.915,0,-170,-7.63722214320039
0.915,0,-169,-7.1745004426174
0.915,0,-168,-7.45274248888085
0.915,0,-167,-8.87336249903725
0.915,0,-166,-10.9573459911537
0.915,0,-165,-9.86483491091467
0.915,0,-164,-6.77762318307821
0.915,0,-163,-5.32604250273824
0.915,0,-162,-6.1332642733164
0.915,0,-161,-9.64575238189911
0.915,0,-160,-13.6150137186413
0.915,0,-159,-9.56478220711915
0.915,0,-158,-7.16518578914525
0.915,0,-157,-8.00696154788595
0.915,0,-156,-12.3717555638632
0.915,0,-155,-19.2460055314006
0.915,0,-154,-15.931223380212
0.915,0,-153,-14.7384182578154
0.915,0,-152,-17.4721252457947
0.915,0,-151,-23.9700265900475
0.915,0,-150,-30.7810896663623
0.915,0,-149,-29.376183525535
0.915,0,-148,-26.0972147114697
0.915,0,-147,-24.2889179486927
0.915,0,-146,-23.9671896903165
0.915,0,-145,-20.6356954848951
0.915,0,-144,-17.9367509189411
0.915,0,-143,-18.7918862969194
0.915,0,-142,-21.4746637207498
0.915,0,-141,-19.5038177395595
0.915,0,-140,-17.6043822022102
0.915,0,-139,-18.1051170725598
0.915,0,-138,-19.2018579702548
0.915,0,-137,-18.2022536077692
0.915,0,-136,-17.0512239101374
0.915,0,-135,-16.5168795248549
0.915,0,-134,-16.0618054361332
0.915,0,-133,-16.3724194718385
0.915,0,-132,-16.8313169582419
0.915,0,-131,-16.7610564401756
0.915,0,-130,-17.532809922236
0.915,0,-129,-16.6496464801094
0.915,0,-128,-13.2877241916841
0.915,0,-127,-11.3817318879285
0.915,0,-126,-11.451618749127
0.915,0,-125,-11.7480669926323
0.915,0,-124,-10.0659934282921
0.915,0,-123,-8.75770008340082
0.915,0,-122,-8.4901951580017
0.915,0,-121,-8.24312168168346
0.915,0,-120,-8.23475432227338
0.915,0,-119,-8.53786729750055
0.915,0,-118,-7.90903929343094
0.915,0,-117,-7.15659469433709
0.915,0,-116,-7.41938227807424
0.915,0,-115,-7.83656303292835
0.915,0,-114,-7.72352132595348
0.915,0,-113,-7.97602237986519
0.915,0,-112,-8.0148986902859
0.915,0,-111,-7.33909655429521
0.915,0,-110,-7.44179123692193
0.915,0,-109,-8.5373830988968
0.915,0,-108,-9.0988331222019
0.915,0,-107,-9.01612772356497
0.915,0,-106,-9.63321459023467
0.915,0,-105,-10.5336997050513
0.915,0,-104,-10.8183465901558
0.915,0,-103,-11.47557286407
0.915,0,-102,-12.9458007962728
0.915,0,-101,-13.5870928995233
0.915,0,-100,-13.1884953134358
0.915,0,-99,-13.58816073119
0.915,0,-98,-15.4108029615422
0.915,0,-97,-17.2939440888576
0.915,0,-96,-15.9481459796223
0.915,0,-95,-14.1401427162345
0.915,0,-94,-13.9378596746699
0.915,0,-93,-15.1164325935895
0.915,0,-92,-17.0900767534547
0.915,0,-91,-19.0709058423483
0.915,0,-90,-20.2651218584798
0.915,0,-89,-19.3965094381521
0.915,0,-88,-16.1387257350418
0.915,0,-87,-13.8578122960217
0.915,0,-86,-13.7171747548725
0.915,0,-85,-14.7294984213883
0.915,0,-84,-14.0595125062493
0.915,0,-83,-12.2546158058512
0.915,0,-82,-11.005266676145
0.915,0,-81,-10.0439018411685
0.915,0,-80,-9.20791995353494
0.915,0,-79,-8.74428776490293
0.915,0,-78,-8.68586833290967
0.915,0,-77,-9.03337064216385
