"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-14.4685058257719
0.915,0,-179,-13.1176257486145
0.915,0,-178,-11.4011268025119
0.915,0,-177,-10.4790366814984
0.915,0,-176,-10.8314596911861
0.915,0,-175,-12.723766272073
0.915,0,-174,-16.1686642489241
0.915,0,-173,-18.7042267027749
0.915,0,-172,-17.1603095309504
0.915,0,-171,-15.8028532922296
0.915,0,-170,-16.2957916106413
0.915,0,-169,-18.9279403143595
0.915,0,-168,-20.9363169557133
0.915,0,-167,-17.3552358711794
0.915,0,-166,-15.2408413839655
0.915,0,-165,-16.0690278399001
0.915,0,-164,-17.1106403600085
0.915,0,-163,-13.3177675354341
0.915,0,-162,-10.3165382082322
0.915,0,-161,-9.858448586297
0.915,0,-160,-11.6926711791023
0.915,0,-159,-13.4881447438232
0.915,0,-158,-12.7912311981582
0.915,0,-157,-13.3405668799259
0.915,0,-156,-15.6105681845149
0.915,0,-155,-14.6871085222778
0.915,0,-154,-12.7235702133849
0.915,0,-153,-13.1684731276667
0.915,0,-152,-14.9429625235663
0.915,0,-151,-14.4715897962113
0.915,0,-150,-14.7203504034873
0.915,0,-149,-18.8993849552077
0.915,0,-148,-20.2972854249925
0.915,0,-147,-16.4512620323981
0.915,0,-146,-16.8893703231742
0.915,0,-145,-18.0385764987817
0.915,0,-144,-13.8668058658224
0.915,0,-143,-10.8817115517104
0.915,0,-142,-9.59874298143231
0.915,0,-141,-9.07528285947423
0.915,0,-140,-9.26630862191202
0.915,0,-139,-10.113241188222
0.915,0,-138,-10.1741489433028
0.915,0,-137,-9.29756700684061
0.915,0,-136,-8.93797481101672
0.915,0,-135,-8.99053496926805
0.915,0,-134,-8.73054670459509
0.915,0,-133,-8.79514743075635
0.915,0,-132,-10.0280606468741
0.915,0,-131,-12.0591258014626
0.915,0,-130,-13.2547499438078
0.915,0,-129,-12.5885409594874
0.915,0,-128,-11.2874688751706
0.915,0,-127,-10.8343945183545
0.915,0,-126,-11.955044597217
0.915,0,-125,-15.1510529956296
0.915,0,-124,-16.2944553465629
