"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainRHCP) []"
0.915,0,-90,-11.9870710878788
0.915,0,-88,-10.9679918087374
0.915,0,-86,-10.0015009582137
0.915,0,-84,-9.0814429103813
0.915,0,-82,-8.20282113578943
0.915,0,-80,-7.36154128525981
0.915,0,-78,-6.55422299807868
0.915,0,-76,-5.77805939183021
0.915,0,-74,-5.03071028603256
0.915,0,-72,-4.31021971817215
0.915,0,-70,-3.61495123978442
0.915,0,-68,-2.94353642418547
0.915,0,-66,-2.29483333209033
0.915,0,-64,-1.66789258544516
0.915,0,-62,-1.06192933086764
0.915,0,-60,-0.476299820372496
0.915,0,-58,0.0895183437022435
0.915,0,-56,0.635943021971376
0.915,0,-54,1.16330196364002
0.915,0,-52,1.67184527484324
0.915,0,-50,2.16175626801729
0.915,0,-48,2.63316096148777
0.915,0,-46,3.08613644578165
0.915,0,-44,3.52071829235778
0.915,0,-42,3.93690714820653
0.915,0,-40,4.33467463374167
0.915,0,-38,4.71396863996053
0.915,0,-36,5.07471810286792
0.915,0,-34,5.41683731792539
0.915,0,-32,5.74022984436165
0.915,0,-30,6.04479203831772
0.915,0,-28,6.33041624487911
0.915,0,-26,6.59699367200355
0.915,0,-24,6.84441696413951
0.915,0,-22,7.0725824898726
0.915,0,-20,7.28139235611551
0.915,0,-18,7.47075616098416
0.915,0,-16,7.64059249833145
0.915,0,-14,7.79083022862621
0.915,0,-12,7.92140953311589
0.915,0,-10,8.03228277061606
0.915,0,-8,8.12341515845079
0.915,0,-6,8.19478530067608
0.915,0,-4,8.24638558746053
0.915,0,-2,8.27822248915784
0.915,0,0,8.29031676706711
0.915,0,2,8.28270362012897
0.915,0,4,8.255432782949
0.915,0,6,8.20856858578144
0.915,0,8,8.14218998174116
0.915,0,10,8.05639054090658
0.915,0,12,7.95127840553669
0.915,0,14,7.82697619576644
0.915,0,16,7.68362085125911
0.915,0,18,7.52136339171781
0.915,0,20,7.34036857814506
0.915,0,22,7.14081445743867
0.915,0,24,6.92289177535458
0.915,0,26,6.68680324696077
0.915,0,28,6.43276267923722
0.915,0,30,6.16099394712735
0.915,0,32,5.87172983170981
0.915,0,34,5.56521073677279
0.915,0,36,5.2416833074479
0.915,0,38,4.90139898121943
0.915,0,40,4.54461250714049
0.915,0,42,4.17158047311844
0.915,0,44,3.78255988345721
0.915,0,46,3.37780682938917
0.915,0,48,2.95757529418635
0.915,0,50,2.52211613187594
0.915,0,52,2.07167625503584
0.915,0,54,1.60649806320444
0.915,0,56,1.12681913982497
0.915,0,58,0.632872243169322
0.915,0,60,0.124885616208776
0.915,0,62,-0.396916357218329
0.915,0,64,-0.932312116524958
0.915,0,66,-1.48108146486361
0.915,0,68,-2.04300362649066
0.915,0,70,-2.61785474033335
0.915,0,72,-3.2054046819159
0.915,0,74,-3.80541307240066
0.915,0,76,-4.41762429381129
0.915,0,78,-5.04176128370748
0.915,0,80,-5.67751783122156
0.915,0,82,-6.32454904057672
0.915,0,84,-6.98245957006845
0.915,0,86,-7.65078919762183
0.915,0,88,-8.32899521444948
0.915,0,90,-9.01643111565756
